asset_id,name,type,zone,age_years,load_pct,temp_c,last_maintenance_days,failure_history_count,outage_history_count,weather_severity,asset_criticality,customers_affected,critical_facilities,peak_load_mw
TF-001,North Main Transformer,Transformer,North Grid,42,104,91,680,7,5,3,3,12500,4,38.0
TF-002,North Residential Transformer A,Transformer,North Grid,35,98,85,540,5,4,2,2,8200,1,24.0
TF-003,North Residential Transformer B,Transformer,North Grid,18,72,63,120,2,1,1,2,6100,1,18.0
TF-004,North Industrial Feed Transformer,Transformer,North Grid,28,88,77,310,4,3,2,3,9400,2,30.0
TF-005,North Substation Feeder Transformer,Transformer,North Grid,12,61,55,90,1,0,1,2,5300,0,16.0
TF-006,North Backup Transformer,Transformer,North Grid,7,45,48,30,0,5,3,3,9800,4,9.0
TF-007,North Peak Load Transformer,Transformer,North Grid,22,95,80,420,3,3,3,2,7800,2,25.0
TF-008,North Distribution Transformer C,Transformer,North Grid,31,79,70,250,3,2,1,1,4200,0,13.0
TF-009,South Central Transformer,Transformer,South Grid,44,107,93,710,8,6,3,3,14200,5,45.0
TF-010,South Coastal Transformer,Transformer,South Grid,38,96,83,580,6,4,3,3,11300,3,35.0
TF-011,South Residential Transformer A,Transformer,South Grid,14,65,57,80,1,1,1,1,4600,0,14.0
TF-012,South Residential Transformer B,Transformer,South Grid,26,74,67,200,2,1,0,1,5200,0,16.0
TF-013,South Grid Tie Transformer,Transformer,South Grid,33,85,75,380,4,3,2,2,8700,1,27.0
TF-014,South Backup Transformer,Transformer,South Grid,9,52,50,45,0,0,0,1,2800,0,8.0
TF-015,Industrial Heavy Load Transformer A,Transformer,Industrial Zone,40,109,90,640,7,5,2,3,13800,4,42.0
TF-016,Industrial Heavy Load Transformer B,Transformer,Industrial Zone,36,101,87,490,6,4,2,3,10600,3,32.0
TF-017,Industrial Auxiliary Transformer,Transformer,Industrial Zone,20,78,68,160,2,1,1,2,6900,1,21.0
TF-018,Industrial Distribution Transformer,Transformer,Industrial Zone,15,67,60,110,1,0,0,2,5800,1,17.0
TF-019,Industrial Cooling System Transformer,Transformer,Industrial Zone,29,92,82,360,4,2,2,3,9100,2,28.0
TF-020,Industrial Standby Transformer,Transformer,Industrial Zone,8,43,46,25,0,0,1,1,2400,0,7.0
PL-001,North Main Transmission Line,Power Line,North Grid,39,97,80,600,6,5,3,3,11800,3,36.0
PL-002,North Residential Distribution Line A,Power Line,North Grid,23,70,62,180,2,2,2,1,4800,0,14.5
PL-003,North Residential Distribution Line B,Power Line,North Grid,11,58,51,70,1,0,1,1,3400,0,10.2
PL-004,North Industrial Feeder Line,Power Line,North Grid,30,86,74,340,4,3,2,2,7200,1,22.0
PL-005,North Backup Feeder Line,Power Line,North Grid,6,42,45,20,0,0,0,1,2200,0,6.6
PL-006,South Coastal Transmission Line,Power Line,South Grid,41,102,88,660,7,5,3,3,13100,4,40.0
PL-007,South Residential Distribution Line A,Power Line,South Grid,16,68,59,100,1,1,1,1,4100,0,12.3
PL-008,South Residential Distribution Line B,Power Line,South Grid,25,76,68,220,3,2,0,1,5600,0,16.8
PL-009,South Industrial Feeder Line,Power Line,South Grid,32,88,76,360,4,3,2,2,8100,1,24.5
PL-010,South Coastal Backup Line,Power Line,South Grid,10,55,50,60,0,4,3,3,8600,3,9.0
PL-011,Industrial Heavy Feeder Line A,Power Line,Industrial Zone,37,100,85,520,6,4,2,3,12400,3,37.5
PL-012,Industrial Heavy Feeder Line B,Power Line,Industrial Zone,24,82,72,230,3,2,1,2,7500,1,22.5
PL-013,Industrial Distribution Line,Power Line,Industrial Zone,13,63,54,85,1,0,0,2,4300,0,13.0
PL-014,Industrial Bypass Line,Power Line,Industrial Zone,19,75,65,150,2,1,1,2,6200,1,18.6
PL-015,Industrial Standby Line,Power Line,Industrial Zone,5,38,43,15,0,0,0,1,1800,0,5.4
SS-001,North Central Substation,Substation,North Grid,43,105,92,700,8,6,3,3,14800,5,48.0
SS-002,North Distribution Substation A,Substation,North Grid,27,83,72,280,3,2,1,2,7400,1,22.5
SS-003,North Distribution Substation B,Substation,North Grid,17,66,59,130,1,1,1,1,4900,0,14.8
SS-004,South Central Substation,Substation,South Grid,45,108,94,730,8,6,3,3,15000,5,50.0
SS-005,South Coastal Substation,Substation,South Grid,34,91,79,430,5,4,3,3,10200,3,31.0
SS-006,South Distribution Substation,Substation,South Grid,21,73,64,190,2,1,0,1,5500,0,16.5
SS-007,Industrial Primary Substation,Substation,Industrial Zone,38,103,89,610,7,5,2,3,13500,4,41.0
SS-008,Industrial Secondary Substation,Substation,Industrial Zone,16,69,61,120,1,0,1,2,5100,0,15.3
SS-009,Industrial Distribution Substation,Substation,Industrial Zone,11,57,50,65,0,4,3,3,9300,3,9.6
SS-010,North Backup Substation,Substation,North Grid,4,40,44,10,0,0,0,1,1500,0,4.5
CB-001,North Grid Main Circuit Breaker,Circuit Breaker,North Grid,36,94,81,470,5,4,3,3,10900,3,33.0
CB-002,South Grid Main Circuit Breaker,Circuit Breaker,South Grid,39,99,86,590,6,5,3,3,12700,4,38.5
CB-003,Industrial Main Circuit Breaker,Circuit Breaker,Industrial Zone,33,90,78,400,5,3,2,3,11100,3,34.0
CB-004,North Residential Circuit Breaker,Circuit Breaker,North Grid,14,64,56,95,1,0,1,1,3800,0,11.4
CB-005,South Residential Circuit Breaker,Circuit Breaker,South Grid,19,71,63,165,2,1,0,1,5400,0,16.2
